pageid	domain	title
12577	tr.wikipedia.org	Göreme Tarihî Millî Parkı
12579	tr.wikipedia.org	Namaz
12655	tr.wikipedia.org	Kore Savaşı
12664	tr.wikipedia.org	Modernizm
12680	tr.wikipedia.org	İslami feminizm
12689	tr.wikipedia.org	İbrahim Şinâsî
12695	tr.wikipedia.org	Ney
12707	tr.wikipedia.org	Pablo Picasso
12718	tr.wikipedia.org	Kangren
12775	tr.wikipedia.org	SRAM
12805	tr.wikipedia.org	Marcel Proust
12820	tr.wikipedia.org	Gürol Tonbul
12823	tr.wikipedia.org	Spice Girls
12830	tr.wikipedia.org	Ayşe Hafsa Sultan
12844	tr.wikipedia.org	Frithjof Schuon
12847	tr.wikipedia.org	Erkek düşmanlığı
12867	tr.wikipedia.org	Türkiye taşıt plaka kodu
12893	tr.wikipedia.org	Dünya'nın yapısı
12912	tr.wikipedia.org	Dünya'nın yerkabuğu
12913	tr.wikipedia.org	Dünya'nın mantosu
12922	tr.wikipedia.org	Windows XP
12937	tr.wikipedia.org	Müslüm Gürses
12950	tr.wikipedia.org	Carl von Clausewitz
12956	tr.wikipedia.org	Eşzamansız Aktarım Modu
12959	tr.wikipedia.org	I. Mengli Giray
12972	tr.wikipedia.org	Telnet
12975	tr.wikipedia.org	Internet Relay Chat
12995	tr.wikipedia.org	Mikis Theodorakis
13009	tr.wikipedia.org	Bertolt Brecht
13028	tr.wikipedia.org	Herakles
13035	tr.wikipedia.org	Merkezî işlem birimi
13171	tr.wikipedia.org	İstanbul'un Fethi
13184	tr.wikipedia.org	Stefan Zweig
13197	tr.wikipedia.org	Fârâbî
13219	tr.wikipedia.org	Ernest Hemingway
13246	tr.wikipedia.org	Gezegen
13251	tr.wikipedia.org	Henry Ford
13275	tr.wikipedia.org	Pornografi
13283	tr.wikipedia.org	Nikola Tesla
13290	tr.wikipedia.org	Kayısı
13295	tr.wikipedia.org	Hayvan
13321	tr.wikipedia.org	Aladağlar
13330	tr.wikipedia.org	J. R. R. Tolkien
13338	tr.wikipedia.org	Su bilimi
13345	tr.wikipedia.org	Beykoz
13364	tr.wikipedia.org	Dean Martin
13384	tr.wikipedia.org	Sauron
13388	tr.wikipedia.org	Kuyruklu yıldız
13400	tr.wikipedia.org	Jeolojik zaman cetveli
13422	tr.wikipedia.org	Sarımsak
13424	tr.wikipedia.org	Sony
13426	tr.wikipedia.org	USB
13427	tr.wikipedia.org	Ericsson
13477	tr.wikipedia.org	Efes
13508	tr.wikipedia.org	Hint-Avrupa dil ailesi
13519	tr.wikipedia.org	GPS
13531	tr.wikipedia.org	Leylâ ile Mecnun
13548	tr.wikipedia.org	Ankara (anlam ayrımı)
13585	tr.wikipedia.org	Yarasa
13589	tr.wikipedia.org	Yellenme
13607	tr.wikipedia.org	Yüzgeçayaklılar
13622	tr.wikipedia.org	Hava durumu
13627	tr.wikipedia.org	Eski Dünya kunduzu
13633	tr.wikipedia.org	Bulut
13677	tr.wikipedia.org	Anayasa
13678	tr.wikipedia.org	23 Nisan Ulusal Egemenlik ve Çocuk Bayramı
13688	tr.wikipedia.org	Quentin Tarantino
13696	tr.wikipedia.org	Davul
13707	tr.wikipedia.org	Kondansatör
13786	tr.wikipedia.org	Kobe Bryant
13788	tr.wikipedia.org	Elektron dizilimi
13800	tr.wikipedia.org	Neptün ötesi cisim
13801	tr.wikipedia.org	Dünya
13809	tr.wikipedia.org	Soy gaz
13855	tr.wikipedia.org	İstanbul
13873	tr.wikipedia.org	Emiliano Zapata
13879	tr.wikipedia.org	Atom ağırlığı
13912	tr.wikipedia.org	Doğa
13920	tr.wikipedia.org	Türk Silahlı Kuvvetleri
13943	tr.wikipedia.org	Agathias
13957	tr.wikipedia.org	Helen
13958	tr.wikipedia.org	Silvan
13960	tr.wikipedia.org	Helios
13961	tr.wikipedia.org	Pelasglar
14051	tr.wikipedia.org	Fotoelektrik etkisi
14092	tr.wikipedia.org	Zaman (gazete)
14096	tr.wikipedia.org	Akkoyunlular
14097	tr.wikipedia.org	Arap alfabesi
14143	tr.wikipedia.org	Batı mazısı
14180	tr.wikipedia.org	Oksijen
14205	tr.wikipedia.org	Yazıcı (donanım)
14206	tr.wikipedia.org	Stephen King
14207	tr.wikipedia.org	Türk (satranç otomatı)
14217	tr.wikipedia.org	Fare (bilgisayar)
14231	tr.wikipedia.org	Tanrı
14247	tr.wikipedia.org	Seramik
14259	tr.wikipedia.org	Kalsit
14261	tr.wikipedia.org	Cam
14301	tr.wikipedia.org	Köprübaşı, Manisa
14311	tr.wikipedia.org	Kuzey Kıbrıs Türk Cumhuriyeti
14323	tr.wikipedia.org	George Orwell
14333	tr.wikipedia.org	Arnavutluk
14351	tr.wikipedia.org	Marcel Duchamp
14379	tr.wikipedia.org	Irak
14436	tr.wikipedia.org	Kadir Topbaş
14444	tr.wikipedia.org	İo (uydu)
14446	tr.wikipedia.org	Europa (uydu)
14451	tr.wikipedia.org	Hezârfen Ahmed Çelebi
14485	tr.wikipedia.org	Ethernet
14504	tr.wikipedia.org	Pîrî Reis Haritası
14522	tr.wikipedia.org	Rüştü Reçber
14526	tr.wikipedia.org	John Deacon
14598	tr.wikipedia.org	Norveç
14599	tr.wikipedia.org	Bosna-Hersek
14602	tr.wikipedia.org	İzlanda
14635	tr.wikipedia.org	Bayındır, İzmir
14642	tr.wikipedia.org	Fatih Terim
14666	tr.wikipedia.org	René Descartes
14706	tr.wikipedia.org	Zülfü Livaneli
14707	tr.wikipedia.org	Füreya Koral
14739	tr.wikipedia.org	Şarkışla
14746	tr.wikipedia.org	Empedokles
14754	tr.wikipedia.org	Baruch Spinoza
14761	tr.wikipedia.org	Süveyş Kanalı
14811	tr.wikipedia.org	Paul McCartney
14812	tr.wikipedia.org	George Harrison
14813	tr.wikipedia.org	Hinduizm
14819	tr.wikipedia.org	Perennial felsefe
14827	tr.wikipedia.org	Augustin Louis Cauchy
14835	tr.wikipedia.org	Bozcaada
14842	tr.wikipedia.org	Jakob Bernoulli
14869	tr.wikipedia.org	Yeni Şafak
14879	tr.wikipedia.org	Christiaan Huygens
14904	tr.wikipedia.org	Burun
14906	tr.wikipedia.org	Kuvars
12	en.wikipedia.org	Anarchism
39	en.wikipedia.org	Albedo
290	en.wikipedia.org	A
303	en.wikipedia.org	Alabama
305	en.wikipedia.org	Achilles
307	en.wikipedia.org	Abraham Lincoln
308	en.wikipedia.org	Aristotle
309	en.wikipedia.org	An American in Paris
324	en.wikipedia.org	Academy Awards
334	en.wikipedia.org	International Atomic Time
336	en.wikipedia.org	Altruism
339	en.wikipedia.org	Ayn Rand
340	en.wikipedia.org	Alain Connes
344	en.wikipedia.org	Allan Dwan
358	en.wikipedia.org	Algeria
359	en.wikipedia.org	List of Atlas Shrugged characters
569	en.wikipedia.org	Anthropology
572	en.wikipedia.org	Agricultural science
573	en.wikipedia.org	Alchemy
579	en.wikipedia.org	Alien
586	en.wikipedia.org	ASCII
593	en.wikipedia.org	Animation
594	en.wikipedia.org	Apollo
595	en.wikipedia.org	Andre Agassi
599	en.wikipedia.org	Afroasiatic languages
615	en.wikipedia.org	American Football Conference
620	en.wikipedia.org	Animal Farm
621	en.wikipedia.org	Amphibian
624	en.wikipedia.org	Alaska
627	en.wikipedia.org	Agriculture
628	en.wikipedia.org	Aldous Huxley
632	en.wikipedia.org	Aberdeen (disambiguation)
633	en.wikipedia.org	Algae
634	en.wikipedia.org	Analysis of variance
639	en.wikipedia.org	Alkane
640	en.wikipedia.org	Appellate procedure in the United States
643	en.wikipedia.org	Appellate court
649	en.wikipedia.org	Arraignment
651	en.wikipedia.org	America the Beautiful
653	en.wikipedia.org	Assistive technology
655	en.wikipedia.org	Abacus
656	en.wikipedia.org	Acid
657	en.wikipedia.org	Bitumen
659	en.wikipedia.org	American National Standards Institute
662	en.wikipedia.org	Apollo 11
663	en.wikipedia.org	Apollo 8
664	en.wikipedia.org	Astronaut
665	en.wikipedia.org	A Modest Proposal
666	en.wikipedia.org	Alkali metal
670	en.wikipedia.org	Alphabet
673	en.wikipedia.org	Atomic number
674	en.wikipedia.org	Anatomy
675	en.wikipedia.org	Affirming the consequent
676	en.wikipedia.org	Andrei Tarkovsky
677	en.wikipedia.org	Ambiguity
680	en.wikipedia.org	Aardvark
681	en.wikipedia.org	Aardwolf
689	en.wikipedia.org	Asia
690	en.wikipedia.org	Aruba
691	en.wikipedia.org	Articles of Confederation
698	en.wikipedia.org	Atlantic Ocean
700	en.wikipedia.org	Arthur Schopenhauer
701	en.wikipedia.org	Angola
705	en.wikipedia.org	Politics of Angola
706	en.wikipedia.org	Economy of Angola
711	en.wikipedia.org	Albert Sidney Johnston
713	en.wikipedia.org	Android (robot)
717	en.wikipedia.org	Alberta
728	en.wikipedia.org	List of anthropologists
734	en.wikipedia.org	Actinopterygii
736	en.wikipedia.org	Albert Einstein
737	en.wikipedia.org	Afghanistan
738	en.wikipedia.org	Albania
740	en.wikipedia.org	Allah
746	en.wikipedia.org	Azerbaijan
748	en.wikipedia.org	Amateur astronomy
751	en.wikipedia.org	Aikido
752	en.wikipedia.org	Art
764	en.wikipedia.org	Agnostida
765	en.wikipedia.org	Abortion
771	en.wikipedia.org	American Revolutionary War
772	en.wikipedia.org	Ampere
775	en.wikipedia.org	Algorithm
780	en.wikipedia.org	Atlas (disambiguation)
783	en.wikipedia.org	Alexander the Great
784	en.wikipedia.org	Alfred Korzybski
785	en.wikipedia.org	Asteroids (video game)
786	en.wikipedia.org	Asparagales
787	en.wikipedia.org	Alismatales
791	en.wikipedia.org	Asteroid
798	en.wikipedia.org	Aries (constellation)
799	en.wikipedia.org	Aquarius (constellation)
800	en.wikipedia.org	Anime
802	en.wikipedia.org	Ankara
803	en.wikipedia.org	Arabic
808	en.wikipedia.org	Alfred Hitchcock
809	en.wikipedia.org	Anaconda
824	en.wikipedia.org	Altaic languages
825	en.wikipedia.org	Austrian German
840	en.wikipedia.org	Axiom of choice
841	en.wikipedia.org	Attila
842	en.wikipedia.org	Aegean Sea
843	en.wikipedia.org	A Clockwork Orange (novel)
844	en.wikipedia.org	Amsterdam
848	en.wikipedia.org	Audi
849	en.wikipedia.org	Aircraft
851	en.wikipedia.org	Alfred Nobel
852	en.wikipedia.org	Alexander Graham Bell
854	en.wikipedia.org	Anatolia
857	en.wikipedia.org	Aberdeenshire
868	en.wikipedia.org	Alp Arslan
869	en.wikipedia.org	American Film Institute
872	en.wikipedia.org	Akira Kurosawa
874	en.wikipedia.org	Ancient Egypt
878	en.wikipedia.org	Abugida
880	en.wikipedia.org	ABBA
881	en.wikipedia.org	Allegiance
887	en.wikipedia.org	MessagePad
888	en.wikipedia.org	A. E. van Vogt
890	en.wikipedia.org	Anna Kournikova
894	en.wikipedia.org	Agnosticism
896	en.wikipedia.org	Argon
897	en.wikipedia.org	Arsenic
898	en.wikipedia.org	Antimony
899	en.wikipedia.org	Actinium
901	en.wikipedia.org	Astatine
902	en.wikipedia.org	Atom
903	en.wikipedia.org	Arable land
904	en.wikipedia.org	Aluminium
905	en.wikipedia.org	Advanced Chemistry
909	en.wikipedia.org	Anglican Communion
914	en.wikipedia.org	Author
921	en.wikipedia.org	Angst
922	en.wikipedia.org	Anxiety
924	en.wikipedia.org	A. A. Milne
928	en.wikipedia.org	Axiom
929	en.wikipedia.org	Alpha
930	en.wikipedia.org	Alvin Toffler
951	en.wikipedia.org	Antigua and Barbuda
954	en.wikipedia.org	Albert Speer
956	en.wikipedia.org	Asteraceae
958	en.wikipedia.org	Axon
960	en.wikipedia.org	Aramaic alphabet
969	en.wikipedia.org	Ataxia
974	en.wikipedia.org	Ada Lovelace
981	en.wikipedia.org	Alps
983	en.wikipedia.org	Albert Camus
984	en.wikipedia.org	Agatha Christie
986	en.wikipedia.org	The Plague (novel)
1000	en.wikipedia.org	Hercule Poirot
1004	en.wikipedia.org	April
1005	en.wikipedia.org	August
1008	en.wikipedia.org	April 6
1010	en.wikipedia.org	April 15
1011	en.wikipedia.org	April 30
1012	en.wikipedia.org	August 22
1013	en.wikipedia.org	August 27
1014	en.wikipedia.org	Alcohol (chemistry)
1016	en.wikipedia.org	Achill Island
1017	en.wikipedia.org	Allen Ginsberg
1018	en.wikipedia.org	Algebraically closed field
1019	en.wikipedia.org	August 6
1020	en.wikipedia.org	Anatoly Karpov
1021	en.wikipedia.org	Aspect ratio
1022	en.wikipedia.org	Auto racing
1023	en.wikipedia.org	Anarcho-capitalism
1027	en.wikipedia.org	August 9
1028	en.wikipedia.org	Aristophanes
1029	en.wikipedia.org	Albert Schweitzer
1030	en.wikipedia.org	Austrian school of economics
1032	en.wikipedia.org	Abscess
1038	en.wikipedia.org	Aarhus
1049	en.wikipedia.org	Amateur
1051	en.wikipedia.org	Alexis Carrel
1055	en.wikipedia.org	All Souls' Day
1057	en.wikipedia.org	Anatole France
1058	en.wikipedia.org	André Gide
1063	en.wikipedia.org	Algorithms for calculating variance
1064	en.wikipedia.org	Almond
1070	en.wikipedia.org	Politics of Antigua and Barbuda
1078	en.wikipedia.org	Antisemitism
1081	en.wikipedia.org	Economy of Azerbaijan
1082	en.wikipedia.org	Geography of Azerbaijan
1087	en.wikipedia.org	Foreign relations of Azerbaijan
1091	en.wikipedia.org	Geography of Armenia
1093	en.wikipedia.org	Politics of Armenia
1094	en.wikipedia.org	Economy of Armenia
1096	en.wikipedia.org	Transport in Armenia
1097	en.wikipedia.org	Armed Forces of Armenia
1098	en.wikipedia.org	Foreign relations of Armenia
1110	en.wikipedia.org	Demographics of American Samoa
1129	en.wikipedia.org	August 13
1130	en.wikipedia.org	Avicenna
1132	en.wikipedia.org	The Ashes
1134	en.wikipedia.org	Analysis
1135	en.wikipedia.org	Abner Doubleday
1141	en.wikipedia.org	Augustin-Jean Fresnel
1144	en.wikipedia.org	Ardipithecus
1146	en.wikipedia.org	Assembly line
1148	en.wikipedia.org	Adelaide
1152	en.wikipedia.org	Alan Garner
1154	en.wikipedia.org	August 2
1158	en.wikipedia.org	Algebraic number
1160	en.wikipedia.org	Automorphism
1164	en.wikipedia.org	Artificial intelligence
1166	en.wikipedia.org	Afro Celt Sound System
1167	en.wikipedia.org	Ancient philosophy
1168	en.wikipedia.org	Anaximander
1170	en.wikipedia.org	Architect
1171	en.wikipedia.org	Abbreviation
1175	en.wikipedia.org	April 1
1177	en.wikipedia.org	Aleister Crowley
1178	en.wikipedia.org	Afterlife
1182	en.wikipedia.org	Athena
1183	en.wikipedia.org	Amber Diceless Roleplaying Game
1187	en.wikipedia.org	Alloy
1192	en.wikipedia.org	Artistic revolution
1193	en.wikipedia.org	Agrarianism
1196	en.wikipedia.org	Angle
1198	en.wikipedia.org	Acoustics
1201	en.wikipedia.org	American Sign Language
1203	en.wikipedia.org	Alternate history
1206	en.wikipedia.org	Atomic orbital
1208	en.wikipedia.org	Alan Turing
1209	en.wikipedia.org	Area
1210	en.wikipedia.org	Astronomical unit
1212	en.wikipedia.org	Artist
1214	en.wikipedia.org	Anglicanism
1216	en.wikipedia.org	Athens
1217	en.wikipedia.org	Anguilla
1227	en.wikipedia.org	Ashmore and Cartier Islands
1239	en.wikipedia.org	Ashoka
1241	en.wikipedia.org	American (word)
1242	en.wikipedia.org	Ada (programming language)
1247	en.wikipedia.org	Alfonso Cuarón
1252	en.wikipedia.org	Arianism
1254	en.wikipedia.org	August 1
1256	en.wikipedia.org	Antoninus Pius
1259	en.wikipedia.org	August 3
1260	en.wikipedia.org	Advanced Encryption Standard
1261	en.wikipedia.org	April 26
1264	en.wikipedia.org	Anisotropy
1270	en.wikipedia.org	Extreme poverty
1271	en.wikipedia.org	Analytical engine
1273	en.wikipedia.org	Augustus
1274	en.wikipedia.org	Geography of Antarctica
1285	en.wikipedia.org	Geography of Alabama
1286	en.wikipedia.org	List of governors of Alabama
1288	en.wikipedia.org	Apocrypha
1291	en.wikipedia.org	Antarctic Treaty System
1293	en.wikipedia.org	Alfred Lawson
1298	en.wikipedia.org	Ames, Iowa
1300	en.wikipedia.org	Abalone
1301	en.wikipedia.org	Abbess
1303	en.wikipedia.org	Abdominal surgery
1306	en.wikipedia.org	Arminianism
1307	en.wikipedia.org	The Alan Parsons Project
1313	en.wikipedia.org	Aromatic compound
1315	en.wikipedia.org	Abbey
1316	en.wikipedia.org	Annales school
1317	en.wikipedia.org	Antimatter
1322	en.wikipedia.org	Casa Batlló
1324	en.wikipedia.org	Park Güell
1325	en.wikipedia.org	Casa Milà
1327	en.wikipedia.org	Antiparticle
1331	en.wikipedia.org	Arabian Prince
1332	en.wikipedia.org	August 7
1333	en.wikipedia.org	August 8
1334	en.wikipedia.org	April 16
1335	en.wikipedia.org	Associative property
1338	en.wikipedia.org	Americans with Disabilities Act of 1990
1346	en.wikipedia.org	Apatosaurus
1347	en.wikipedia.org	Allosaurus
1348	en.wikipedia.org	AK-47
1349	en.wikipedia.org	Atanasoff–Berry computer
1354	en.wikipedia.org	Andes
1358	en.wikipedia.org	Anchor
1360	en.wikipedia.org	Anazarbus
1361	en.wikipedia.org	Anagram
1362	en.wikipedia.org	Anadyr (river)
1363	en.wikipedia.org	André-Marie Ampère
1365	en.wikipedia.org	Ammonia
1366	en.wikipedia.org	Amethyst
1367	en.wikipedia.org	Albertosaurus
1368	en.wikipedia.org	Assembly language
1369	en.wikipedia.org	Ambrosia
1370	en.wikipedia.org	Ambrose
1372	en.wikipedia.org	Amber
1374	en.wikipedia.org	Alphorn
1376	en.wikipedia.org	Army
1380	en.wikipedia.org	Alligatoridae
1384	en.wikipedia.org	Amos Bronson Alcott
1387	en.wikipedia.org	Alabaster
1395	en.wikipedia.org	Amazing Grace
1397	en.wikipedia.org	AOL
1400	en.wikipedia.org	Anno Domini
1404	en.wikipedia.org	AV
1409	en.wikipedia.org	Angilbert
1412	en.wikipedia.org	Amine
1416	en.wikipedia.org	April 29
1417	en.wikipedia.org	August 14
1418	en.wikipedia.org	Absolute zero
1419	en.wikipedia.org	Adiabatic process
1422	en.wikipedia.org	Amide
1423	en.wikipedia.org	Animism
1425	en.wikipedia.org	Antonio Vivaldi
1428	en.wikipedia.org	Adrian
1436	en.wikipedia.org	Abraham
1437	en.wikipedia.org	Abraxas
1438	en.wikipedia.org	Absalom
1440	en.wikipedia.org	Abydos, Egypt
1441	en.wikipedia.org	Abydos (Hellespont)
1442	en.wikipedia.org	August 15
1445	en.wikipedia.org	Acacia sensu lato
1446	en.wikipedia.org	Acapulco
1448	en.wikipedia.org	August 16
1449	en.wikipedia.org	Alan Kay
1451	en.wikipedia.org	APL (programming language)
1453	en.wikipedia.org	ALGOL
1460	en.wikipedia.org	Asgard
1461	en.wikipedia.org	Apollo program
1466	en.wikipedia.org	Assault
1485	en.wikipedia.org	Alain de Lille
1486	en.wikipedia.org	Alemanni
1488	en.wikipedia.org	NYSE American
1490	en.wikipedia.org	August 17
1494	en.wikipedia.org	Alfred Russel Wallace
1495	en.wikipedia.org	Australian Labor Party
1496	en.wikipedia.org	August 18
1497	en.wikipedia.org	August 19
1499	en.wikipedia.org	August 21
1500	en.wikipedia.org	Dodo (Alice's Adventures in Wonderland)
1513	en.wikipedia.org	Albert of Brandenburg
1514	en.wikipedia.org	Albert, Duke of Prussia
1519	en.wikipedia.org	August 25
1520	en.wikipedia.org	Aachen
1523	en.wikipedia.org	Agate
1525	en.wikipedia.org	Aspirin
1526	en.wikipedia.org	Abner
1527	en.wikipedia.org	Ahmed I
1529	en.wikipedia.org	Ahmed III
1530	en.wikipedia.org	Ainu people
1536	en.wikipedia.org	Acropolis
1537	en.wikipedia.org	Acupuncture
1541	en.wikipedia.org	April 13
1542	en.wikipedia.org	Amaranth
1543	en.wikipedia.org	Agapanthus africanus
1544	en.wikipedia.org	Agamemnon
1545	en.wikipedia.org	Aga Khan I
1546	en.wikipedia.org	Aga Khan III
1548	en.wikipedia.org	Alexander Agassiz
1549	en.wikipedia.org	Agathon
1550	en.wikipedia.org	Agesilaus II
1556	en.wikipedia.org	Agrippina the Elder
1557	en.wikipedia.org	Agrippina the Younger
1558	en.wikipedia.org	American Chinese cuisine
1560	en.wikipedia.org	Ahmad Shah Durrani
1566	en.wikipedia.org	Akkadian Empire
1568	en.wikipedia.org	Ajax the Great
1570	en.wikipedia.org	Alaric I
1571	en.wikipedia.org	Alaric II
1573	en.wikipedia.org	Albertus Magnus
1575	en.wikipedia.org	Alboin
1576	en.wikipedia.org	Afonso de Albuquerque
1577	en.wikipedia.org	Alcaeus of Mytilene
1579	en.wikipedia.org	Alcmene
1581	en.wikipedia.org	Aldine Press
1583	en.wikipedia.org	Ealdred (archbishop of York)
1587	en.wikipedia.org	Alexander of Pherae
1592	en.wikipedia.org	Alexander III of Russia
1593	en.wikipedia.org	Alexander I of Scotland
1594	en.wikipedia.org	Alexander II of Scotland
1595	en.wikipedia.org	Alexander I of Serbia
1596	en.wikipedia.org	Alexander III of Scotland
1600	en.wikipedia.org	Severus Alexander
1601	en.wikipedia.org	Alexander
1606	en.wikipedia.org	Alexander Jannaeus
1613	en.wikipedia.org	Alexios I Komnenos
1614	en.wikipedia.org	Alexis (poet)
1617	en.wikipedia.org	Alexios V Doukas
1620	en.wikipedia.org	Alexei Petrovich, Tsarevich of Russia
1623	en.wikipedia.org	Andrew Jackson
1624	en.wikipedia.org	Andrew Johnson
1625	en.wikipedia.org	Aleksandr Solzhenitsyn
1627	en.wikipedia.org	Aberdeen
1628	en.wikipedia.org	August 23
1629	en.wikipedia.org	August 24
1633	en.wikipedia.org	Antipope
1635	en.wikipedia.org	Kolmogorov complexity
1639	en.wikipedia.org	April 28
1640	en.wikipedia.org	Alfred the Great
1644	en.wikipedia.org	Algiers
1645	en.wikipedia.org	Ibn al-Haytham
1649	en.wikipedia.org	Almoravid dynasty
1650	en.wikipedia.org	Aloe
1652	en.wikipedia.org	Alyattes
1653	en.wikipedia.org	Age of consent
1659	en.wikipedia.org	Afonso III of Portugal
1660	en.wikipedia.org	Afonso IV of Portugal
1661	en.wikipedia.org	Afonso V of Portugal
1676	en.wikipedia.org	Alfonso XII
1677	en.wikipedia.org	Alfonso XIII
1679	en.wikipedia.org	Alfonso the Battler
1680	en.wikipedia.org	Amaryllis
1685	en.wikipedia.org	Amasis II
1686	en.wikipedia.org	Alfonso V of Aragon
1687	en.wikipedia.org	Amathus
1688	en.wikipedia.org	Alphons
1690	en.wikipedia.org	Amati
1695	en.wikipedia.org	Amazons
1697	en.wikipedia.org	Ambergris
1698	en.wikipedia.org	Ambiorix
1701	en.wikipedia.org	Amazon River
1702	en.wikipedia.org	Alfred of Beverley
1710	en.wikipedia.org	April 22
1711	en.wikipedia.org	August 31
1715	en.wikipedia.org	Abu Bakr
1716	en.wikipedia.org	Ambrose Traversari
1718	en.wikipedia.org	Ambrosiaster
1719	en.wikipedia.org	Ambrosius Aurelianus
1722	en.wikipedia.org	Ammon
1726	en.wikipedia.org	Book of Amos
1727	en.wikipedia.org	Amphipolis
1730	en.wikipedia.org	Amyntas III of Macedon
1734	en.wikipedia.org	Anah
1735	en.wikipedia.org	Ānanda
1737	en.wikipedia.org	Anaxagoras
1738	en.wikipedia.org	Anaxarchus
1746	en.wikipedia.org	Anaximenes of Lampsacus
1748	en.wikipedia.org	Anaximenes of Miletus
1749	en.wikipedia.org	Ancus Marcius
1750	en.wikipedia.org	Andaman Islands
1752	en.wikipedia.org	Andocides
1755	en.wikipedia.org	Andrew II of Hungary
1756	en.wikipedia.org	An Enquiry Concerning Human Understanding
1760	en.wikipedia.org	Andronikos III Palaiologos
1761	en.wikipedia.org	Andronikos II Palaiologos
1762	en.wikipedia.org	Andronikos I Komnenos
1767	en.wikipedia.org	Ammianus Marcellinus
1770	en.wikipedia.org	Apollo 13
1773	en.wikipedia.org	Apollo 7
1774	en.wikipedia.org	Apollo 9
1776	en.wikipedia.org	Arthritis
1778	en.wikipedia.org	Acetylene
1781	en.wikipedia.org	August 28
1787	en.wikipedia.org	April 9
1789	en.wikipedia.org	Apuleius
1790	en.wikipedia.org	Alexander Selkirk
1791	en.wikipedia.org	Anti-ballistic missile
1793	en.wikipedia.org	August 29
1797	en.wikipedia.org	Acre
1800	en.wikipedia.org	Adenosine triphosphate
1805	en.wikipedia.org	Antibiotic
1806	en.wikipedia.org	Arnold Schwarzenegger
1812	en.wikipedia.org	Amway
1814	en.wikipedia.org	Adam Smith
1822	en.wikipedia.org	Antoine Lavoisier
1826	en.wikipedia.org	April 18
1827	en.wikipedia.org	April 23
1828	en.wikipedia.org	Amitabh Bachchan
1832	en.wikipedia.org	Allomorph
1834	en.wikipedia.org	Allophone
1835	en.wikipedia.org	Affix
1837	en.wikipedia.org	Allegory
1841	en.wikipedia.org	Economy of Alberta
1842	en.wikipedia.org	Augustin-Louis Cauchy
1845	en.wikipedia.org	Alternative medicine
1851	en.wikipedia.org	Antiprism
1853	en.wikipedia.org	Natural history of Africa
1854	en.wikipedia.org	Geography of Africa
1857	en.wikipedia.org	Approval voting
1859	en.wikipedia.org	Arizona State University
1864	en.wikipedia.org	Astoria, Oregon
1866	en.wikipedia.org	Alarums and Excursions
1869	en.wikipedia.org	Alfred Jarry
1871	en.wikipedia.org	Amalric of Jerusalem
1872	en.wikipedia.org	Aimery of Cyprus
1874	en.wikipedia.org	Absalon
1878	en.wikipedia.org	Alphonse, Count of Poitiers
1881	en.wikipedia.org	Art Deco
1884	en.wikipedia.org	ASCII art
1893	en.wikipedia.org	Albert Spalding
1896	en.wikipedia.org	Acquire
1897	en.wikipedia.org	Australian English
1902	en.wikipedia.org	American Airlines Flight 77
1905	en.wikipedia.org	Ambush
1908	en.wikipedia.org	Abzyme
1909	en.wikipedia.org	Adaptive radiation
1910	en.wikipedia.org	Agarose gel electrophoresis
1911	en.wikipedia.org	Allele
1912	en.wikipedia.org	Ampicillin
1914	en.wikipedia.org	Antimicrobial resistance
1916	en.wikipedia.org	Autosome
1921	en.wikipedia.org	Al-Qaeda
1923	en.wikipedia.org	Alessandro Volta
1925	en.wikipedia.org	Andromeda (mythology)
1926	en.wikipedia.org	Antlia
1927	en.wikipedia.org	Ara (constellation)
1930	en.wikipedia.org	Arkansas
1933	en.wikipedia.org	Apus
1934	en.wikipedia.org	Abadan, Iran
1937	en.wikipedia.org	Alexander Fleming
1938	en.wikipedia.org	Andrew Carnegie
1942	en.wikipedia.org	Airline
1943	en.wikipedia.org	Australian Democrats
1944	en.wikipedia.org	Australian Capital Territory
1948	en.wikipedia.org	Ally McBeal
1949	en.wikipedia.org	Andreas Capellanus
1955	en.wikipedia.org	Adobe Inc.
1957	en.wikipedia.org	Alexander Technique
1962	en.wikipedia.org	Apparent magnitude
1963	en.wikipedia.org	Absolute magnitude
1965	en.wikipedia.org	Apollo 1
1966	en.wikipedia.org	Apollo 10
1967	en.wikipedia.org	Apollo 12
1968	en.wikipedia.org	Apollo 14
1969	en.wikipedia.org	Apollo 15
1970	en.wikipedia.org	Apollo 16
1971	en.wikipedia.org	Apollo 17
1973	en.wikipedia.org	American Revolution
1974	en.wikipedia.org	April 17
1975	en.wikipedia.org	Alan Ayckbourn
1979	en.wikipedia.org	Alpha Centauri
1980	en.wikipedia.org	Amiga
1986	en.wikipedia.org	Actinophryid
1988	en.wikipedia.org	Abel Tasman
1990	en.wikipedia.org	August 5
1997	en.wikipedia.org	Algebraic geometry
1998	en.wikipedia.org	Austin, Texas
2003	en.wikipedia.org	Argument from morality
2006	en.wikipedia.org	Auschwitz concentration camp
2009	en.wikipedia.org	Alvar Aalto
2011	en.wikipedia.org	Comparison of American and British English
2017	en.wikipedia.org	Arbor Day
2019	en.wikipedia.org	André Weil
2020	en.wikipedia.org	Achaeans (Homer)
2023	en.wikipedia.org	Aeschylus
2024	en.wikipedia.org	Amber Road
2030	en.wikipedia.org	Augustine of Hippo
2037	en.wikipedia.org	Delian League
